KBP relation,Max values (9 means no limit),Relation terms,Arg2 begins,Entity in,SlotFill in,Slot type,Arg1 terms,Arg2 terms
,,,,,,,,
,,,,,,,,
org:date_founded,1,founded,in,arg1,arg2,Date,,
org:date_founded,1,established,in,arg1,arg2,Date,,
org:date_founded,1,started,in,arg1,arg2,Date,,
org:date_founded,1,was created,in,arg1,arg2,Date,,
org:date_founded,1,set up,in,arg1,arg2,Date,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
org:member_of,1,member of,,arg1,arg2,Organization,,
org:member_of,1,wing of,,arg1,arg2,Organization,,
org:member_of,1,part of,,arg1,arg2,Organization,,
,,,,,,,,
,,,,,,,,
org:members,9,member of,,arg2,arg1,Organization,,
org:members,9,wing of,,arg2,arg1,Organization,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
org:number_of_employees_members,1,has,,arg1,arg2,Integer,,Integer members
org:number_of_employees_members,1,has,,arg1,arg2,Integer,,Integer people
org:number_of_employees_members,1,has,,arg1,arg2,Integer,,Integer employees
org:number_of_employees_members,1,have,,arg1,arg2,Integer,,Integer members
org:number_of_employees_members,1,have,,arg1,arg2,Integer,,Integer people
org:number_of_employees_members,1,have,,arg1,arg2,Integer,,Integer employees
,,,,,,,,
org:number_of_employees_members,1,employs,,arg1,arg2,Integer,,Integer members
org:number_of_employees_members,1,employs,,arg1,arg2,Integer,,Integer people
org:number_of_employees_members,1,employs,,arg1,arg2,Integer,,Integer employees
,,,,,,,,
org:number_of_employees_members,1,claims,,arg1,arg2,Integer,,Integer members
org:number_of_employees_members,1,claims,,arg1,arg2,Integer,,Integer people
org:number_of_employees_members,1,claims,,arg1,arg2,Integer,,Integer employees
,,,,,,,,
,,,,,,,,
,,,,,,,,
org:political_religious_affiliation,0,,,,,,,
,,,,,,,,
org:shareholders,0,,,,,,,
