KBP relation,Max values (9 means no limit),Relation terms,Arg2 begins,Entity in,SlotFill in,Slot type,Arg1 terms,Arg2 terms
per:parents,9,father of,,arg2,arg1,Person,,
per:parents,9,mother of,,arg2,arg1,Person,,
per:parents,9,parent of,,arg2,arg1,Person,,
,,,,,,,,
per:city_of_birth,1,born,in,arg1,arg2,City,,
per:city_of_birth,1,born,,arg1,arg2,City,,in
per:city_of_birth,1,native of,,arg1,arg2,City,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
per:country_of_birth,1,born,in,arg1,arg2,Country,,
per:country_of_birth,1,born,,arg1,arg2,Country,,in
per:country_of_birth,1,native of,,arg1,arg2,Country,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
per:stateorprovince_of_birth,1,born,in,arg1,arg2,Stateorprovince,,
per:stateorprovince_of_birth,1,born,,arg1,arg2,Stateorprovince,,in
per:stateorprovince_of_birth,1,native of,,arg1,arg2,Stateorprovince,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
per:cities_of_residence,9,lived,in,arg1,arg2,City,,
per:cities_of_residence,9,came,from,arg1,arg2,City,,
per:cities_of_residence,9,be,from,arg1,arg2,City,,
per:cities_of_residence,9,grew up,in,arg1,arg2,City,,
per:cities_of_residence,9,die,at,arg1,arg2,City,,home
per:cities_of_residence,9,<JobTitle> of,,arg1,arg2,City,,
per:cities_of_residence,9,raised,in,arg1,arg2,City,,
per:cities_of_residence,9,lived,City,arg1,arg2,City,,
,,,,,,,,
per:countries_of_residence,9,lived,in,arg1,arg2,Country,,
per:countries_of_residence,9,came,from,arg1,arg2,Country,,
per:countries_of_residence,9,be,from,arg1,arg2,Country,,
per:countries_of_residence,9,grew up,in,arg1,arg2,Country,,
per:countries_of_residence,9,die,at,arg1,arg2,Country,,home
per:countries_of_residence,9,<JobTitle> of,,arg1,arg2,Country,,
per:countries_of_residence,9,raised,in,arg1,arg2,Country,,
per:countries_of_residence,9,lived,Country,arg1,arg2,Country,,
,,,,,,,,
per:statesorprovinces_of_residence,9,lived,in,arg1,arg2,Stateorprovince,,
per:statesorprovinces_of_residence,9,came,from,arg1,arg2,Stateorprovince,,
per:statesorprovinces_of_residence,9,be,from,arg1,arg2,Stateorprovince,,
per:statesorprovinces_of_residence,9,grew up,in,arg1,arg2,Stateorprovince,,
per:statesorprovinces_of_residence,9,die,at,arg1,arg2,Stateorprovince,,home
per:statesorprovinces_of_residence,9,<JobTitle> of,,arg1,arg2,Stateorprovince,,
per:statesorprovinces_of_residence,9,raised,in,arg1,arg2,Stateorprovince,,
per:statesorprovinces_of_residence,9,lived,Stateorprovince,arg1,arg2,Stateorprovince,,
,,,,,,,,
per:religion,1,be,,arg1,arg2,Religion,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
per:siblings,9,brother of,,arg1 ,arg1,Person,,
per:siblings,9,brother of,,arg2 ,arg1,Person,,
per:siblings,9,sister of,,arg1 ,arg1,Person,,
per:siblings,9,sister of,,arg2 ,arg1,Person,,
,,,,,,,,
per:spouse,9,wife of,,arg1,arg2,Person,,
per:spouse,9,wife of,,arg2,arg1,Person,,
per:spouse,9,ex-wife of,,arg1,arg2,Person,,
per:spouse,9,ex-wife of,,arg2,arg1,Person,,
per:spouse,9,widow of,,arg1,arg2,Person,,
per:spouse,9,widow of,,arg2,arg1,Person,,
per:spouse,9,widower of,,arg1,arg2,Person,,
per:spouse,9,widower of,,arg2,arg1,Person,,
per:spouse,9,husband of,,arg1,arg2,Person,,
per:spouse,9,husband of,,arg2,arg1,Person,,
per:spouse,9,ex-husband of,,arg1,arg2,Person,,
per:spouse,9,ex-husband of,,arg2,arg1,Person,,
per:spouse,9,spouse of,,arg1,arg2,Person,,
per:spouse,9,spouse of,,arg2,arg1,Person,,
per:spouse,9,married,,arg1,arg2,Person,,
per:spouse,9,remarried,,arg1,arg2,Person,,
per:spouse,9,married,to,arg1,arg2,Person,,
per:spouse,9,married,,arg2,arg1,Person,,
per:spouse,9,remarried,,arg2,arg1,Person,,
per:spouse,9,married,to,arg2,arg1,Person,,
,,,,,,,,
per:age,1,old,,arg1,relation,<integer>-year-old,,
per:age,1,age,,arg1,arg2,Integer,,
per:age,1,die,at,arg1,arg2,Integer,,age
per:age,1,succumbed,at,arg1,arg2,Integer,,age
,,,,,,,,
,,,,,,,,
per:charges,9,charged,with,arg1,arg2,Crime,,
,,,,,,,,
per:origin,1,national of,,arg1,arg2,Country,,
per:origin,1,be,,arg1,arg2,Nationality,,
per:origin,1,<JobTitle> of,,arg1,arg2,Country,,
per:origin,1,lead,,arg1,arg2,Country,,
per:origin,1,run,,arg1,arg2,Country,,
per:origin,1,rule,,arg1,arg2,Country,,
per:origin,1,<JobTitle> of,,arg1,arg2,Nationality,,
per:origin,1,lead,,arg1,arg2,Nationality,,
per:origin,1,run,,arg1,arg2,Nationality,,
per:origin,1,rule,,arg1,arg2,Nationality,,
